CRN_final,cohort,grant_date_real,grant_year,Award Offered (£),Sector,Enterprise Size,enterprise_size_clean,Is Lead Participant,Innovate UK Product Type,prior_iuk_grant_received,total_iuk_grants,grant_rank,Address Region,is_crf,prior_source_grant,inc_date,company_age_at_grant,R/O Postal region,Legal form,SME indicator,Number of current directors,no_financial_data,pregrant_year,pregrant_current_assets,pregrant_current_liabilities,pregrant_total_assets,pregrant_long_term_liabilities,pregrant_net_tangible_assets,pregrant_fixed_assets,pregrant_turnover,pregrant_profit_loss,pregrant_creditors,pregrant_total_liabilities,pregrant_net_assets,pregrant_current_ratio,pregrant_leverage_ratio,pregrant_working_capital,pregrant_profit_margin,pregrant_roa,corporate_psc_flag,sic_code_dg,accounts_overdue,last_accounts_date,n_grant_rows,total_award_allgrants,first_grant_year,last_grant_year,prior_iuk_grant_received_ever,survival_36m_final,follow_on_equity_3yr,further_grant_bh
04050834,Cohort C,2016-02-01,2016,88744.0,Clean Growth & Infrastructure,Medium,Medium,Yes,Feasibility Studies,1.0,4.0,1.0,North West,False,,2000-10-08,15.3,North West,Private Limited,1.0,0,0,2015,3753807,-1825239.0,3930509,-967917.0,2105270,176702.0,,,,-2793156.0,1137353.0,2.057,0.7106346786128718,1928568.0,,,0,72190.0,1,2023-11-27,1,88744.0,2016,2016,1.0,1,,
08804598,Cohort B,2016-03-01,2016,24500.0,AI & Data Economy,Micro,Micro,Yes,Feasibility Studies,0.0,1.0,1.0,West Midlands,False,,2013-06-12,2.7,Southern,Private Limited,,0,0,2015,886,-7463.0,886,,-6577,,,,,-7463.0,-6577.0,0.119,8.423250564334086,-6577.0,,,1,71122.0,1,2019-09-20,1,24500.0,2016,2016,0.0,1,1.0,0.0
07707982,Cohort B,2016-03-01,2016,42000.0,AI & Data Economy,Micro,Micro,Yes,Procurement,0.0,1.0,1.0,Yorkshire and The Humber,False,,2011-07-18,4.6,Yorks & Humberside,Private Limited,1.0,1,0,2015,46977,-22315.0,49203,-280.0,26888,2226.0,,,,-22595.0,26608.0,2.105,0.4592199662622198,24662.0,,,0,62011.0,0,2026-04-16,1,42000.0,2016,2016,0.0,1,0.0,1.0
SC370402,Cohort B,2016-03-01,2016,82394.0,AI & Data Economy,Small,Small,Yes,Launchpad,0.0,1.0,1.0,Scotland,False,,2009-12-21,6.2,Scotland,Private Limited,1.0,2,0,2015,572760,-470175.0,621611,-23864.0,150086,48851.0,2772615.0,113020.0,33760.0,-494039.0,127572.0,1.218,0.7947719715384702,102585.0,0.041,0.182,0,74909.0,0,2026-03-30,1,82394.0,2016,2016,0.0,1,0.0,1.0
SC466144,Cohort B,2016-03-01,2016,83171.0,AI & Data Economy,Micro,Micro,Yes,Launchpad,0.0,1.0,1.0,Scotland,False,,2013-12-19,2.2,Scotland,Private Limited,1.0,0,0,2015,1776,-23400.0,26303,,2903,24527.0,,,,-23400.0,2903.0,0.076,0.8896323613276053,-21624.0,,,0,63120.0,1,2023-06-19,1,83171.0,2016,2016,0.0,1,1.0,0.0
03017339,Cohort C,2016-03-01,2016,67225.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,1.0,2.0,1.0,East of England,False,,1995-02-02,21.1,Eastern,Private Limited,1.0,1,0,2015,413003,-223898.0,758670,,534772,345667.0,,,,-223898.0,534772.0,1.845,0.2951190899864236,189105.0,,,0,28990.0,0,2025-12-23,1,67225.0,2016,2016,1.0,1,,
07523447,Cohort C,2016-03-01,2016,119500.0,Clean Growth & Infrastructure,Micro,Micro,Yes,Feasibility Studies,1.0,11.0,1.0,South East,False,,2011-09-02,4.5,Southern,Private Limited,1.0,1,0,2015,84401,-9424.0,84911,,75487,510.0,,,,-9424.0,75487.0,8.956,0.1109867979413739,74977.0,,,0,20590.0,0,2025-11-21,1,119500.0,2016,2016,1.0,1,,
08973931,Cohort C,2016-03-01,2016,950059.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,0.0,1.0,1.0,London,False,,2014-02-04,2.1,London Inner,Private Limited,,1,0,2015,384490,-254048.0,415695,,161647,31205.0,,,,-254048.0,161647.0,1.513,0.6111403793646785,130442.0,,,0,63990.0,0,2026-02-01,1,950059.0,2016,2016,0.0,1,,
08804271,Cohort B,2016-04-01,2016,42000.0,AI & Data Economy,Micro,Micro,Yes,Procurement,0.0,1.0,1.0,South East,False,,2013-05-12,2.9,Southern,Private Limited,1.0,0,0,2015,30240,-16251.0,30240,,13989,,,,,-16251.0,13989.0,1.861,0.5374007936507936,13989.0,,,0,72190.0,1,2019-09-25,1,42000.0,2016,2016,0.0,1,,
05653191,Cohort C,2016-04-01,2016,109190.0,Clean Growth & Infrastructure,Micro,Micro,No,Collaborative R&D,0.0,1.0,1.0,South West,False,,2005-12-13,10.3,West Midlands,Private Limited,1.0,1,0,2015,115134,-105712.0,136845,-15868.0,31133,21711.0,,,,-121580.0,15265.0,1.089,0.888450436625379,9422.0,,,0,70229.0,0,2025-08-28,1,109190.0,2016,2016,0.0,1,,
07002484,Cohort C,2016-04-01,2016,226806.0,Clean Growth & Infrastructure,Micro,Micro,Yes,Collaborative R&D,0.0,1.0,1.0,East Midlands,False,,2009-08-27,6.6,East Midlands,Private Limited,1.0,2,0,2015,27519,-22836.0,30258,,7422,2739.0,,,,-22836.0,7422.0,1.205,0.7547094983144953,4683.0,,,0,43999.0,0,2025-07-31,1,226806.0,2016,2016,0.0,1,,
08053370,Cohort B,2016-05-01,2016,41604.0,AI & Data Economy,Micro,Micro,Yes,Procurement,1.0,3.0,1.0,South East,False,,2012-01-05,4.3,Southern,Private Limited,1.0,2,0,2015,20054,-12073.0,21614,-312.0,9541,1560.0,,,,-12385.0,9229.0,1.661,0.5730082354029795,7981.0,,,0,62012.0,0,2025-10-01,1,41604.0,2016,2016,1.0,1,,
09196649,Cohort B,2016-05-01,2016,34320.0,AI & Data Economy,Micro,Micro,Yes,Procurement,0.0,1.0,1.0,South East,False,,2014-08-30,1.7,South Eastern,Private Limited,1.0,2,0,2015,252,-2954.0,2709,,-245,2457.0,,,,-2954.0,-245.0,0.085,1.090439276485788,-2702.0,,,0,85520.0,0,2025-10-12,1,34320.0,2016,2016,0.0,1,0.0,0.0
08417106,Cohort B,2016-05-01,2016,42000.0,AI & Data Economy,Micro,Micro,Yes,Procurement,1.0,2.0,1.0,South East,False,,2013-02-25,3.2,Southern,Private Limited,1.0,2,0,2015,20143,-14749.0,36553,,8020,16410.0,,,,-14749.0,21804.0,1.366,0.4034962930539217,5394.0,,,0,62012.0,0,2025-09-25,1,42000.0,2016,2016,1.0,1,0.0,1.0
